Team,Winning_Probability_NB,Winning_Probability_LR
Austria,0.10464745239267678,9.911251100517251e-05
Austria,0.06104146158213686,0.02599338075501638
Austria,0.06532377543354,9.565513152109337e-11
Austria,0.06160009010040666,0.1809738140795735
Austria,0.06104146158213686,0.02599338075501638
Austria,0.062095893388879726,3.2433102333676496e-08
Austria,0.061409574666972964,2.2615970620163892e-07
Austria,0.060434386102052075,7.668229788218032e-05
Austria,0.06066290942722585,0.0037284879019391344
Austria,0.06160009010040666,0.1809738140795735
Austria,0.060582430289532474,1.0996859188463515e-05
Austria,0.06404430416218325,6.670140975324718e-10
Austria,0.06532377543354,9.565513152109337e-11
Austria,0.06046113513180241,0.0005347119243011379
Austria,0.060582430289532474,1.0996859188463515e-05
Austria,0.06682156021397201,1.3717707346998739e-11
Austria,0.06719822548913339,8.717898371713317e-05
